_id,fields[0].question,fields[1].question,fields[2].question,fields[3].question,fields[4].question,fields[5].question,fields[6].question,fields[7].question,fields[8].question,fields[9].question,fields[10].question,fields[11].question,fields[12].question,fields[13].question,fields[0].questionType,fields[1].questionType,fields[2].questionType,fields[3].questionType,fields[4].questionType,fields[5].questionType,fields[6].questionType,fields[7].questionType,fields[8].questionType,fields[9].questionType,fields[10].questionType,fields[11].questionType,fields[12].questionType,fields[13].questionType,fields[0].options[0],fields[0].options[1],fields[0].options[2],fields[0].options[3],fields[2].options[0],fields[2].options[1],fields[2].options[2],fields[2].options[3],fields[1].options[0],fields[1].options[1],fields[1].options[2],fields[1].options[3],fields[4].options[0],fields[4].options[1],fields[4].options[2],fields[4].options[3],fields[3].options[0],fields[3].options[1],fields[3].options[2],fields[3].options[3],fields[7].options[0],fields[7].options[1],fields[7].options[2],fields[7].options[3],fields[8].options[0],fields[8].options[1],fields[8].options[2],fields[8].options[3],fields[9].options[0],fields[9].options[1],fields[9].options[2],fields[9].options[3],fields[13].options[0],fields[13].options[1],fields[13].options[2],fields[13].options[3],fields[5].options[0],fields[5].options[1],fields[0]._id,fields[1]._id,fields[2]._id,fields[3]._id,fields[4]._id,fields[5]._id,fields[6]._id,fields[7]._id,fields[8]._id,fields[9]._id,fields[10]._id,fields[11]._id,fields[12]._id,fields[13]._id,authorityId,createdAt,__v
654f9a2dcdada04a6176e7fb,question1,question2,question3,,,,,,,,,,,,multiple choice,open ended,multiple choice,,,,,,,,,,,,op1,op2,op3,op4,op1,op2,op3,op4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654f9a2dcdada04a6176e7fc,654f9a2dcdada04a6176e7fd,654f9a2dcdada04a6176e7fe,,,,,,,,,,,,6539428fe0265e4af914c100,2023-11-11T15:13:49.639Z,0
654f9dd7cdada04a6176e805,question1,question1eew,question2,question2,question3,,,,,,,,,,multiple choice,multiple choice,short answer,brief answer,multiple choice,,,,,,,,,,op1,op2,op3,op4,,,,,op1,op2,op3,op4,op1,op2,op3,op4,,,,,,,,,,,,,,,,,,,,,,,654f9dd7cdada04a6176e806,654f9dd7cdada04a6176e807,654f9dd7cdada04a6176e808,654f9dd7cdada04a6176e809,654f9dd7cdada04a6176e80a,,,,,,,,,,6539428fe0265e4af914c100,2023-11-11T15:29:27.505Z,0
654fa042cdada04a6176e886,question100,question1eew,question2,question2,question3,,,,,,,,,,brief answer,multiple choice,short answer,brief answer,multiple choice,,,,,,,,,,op1,op2,op3,op4,,,,,op1,op2,op3,op4,op1,op2,op3,op4,,,,,,,,,,,,,,,,,,,,,,,654fa042cdada04a6176e887,654fa042cdada04a6176e888,654fa042cdada04a6176e889,654fa042cdada04a6176e88a,654fa042cdada04a6176e88b,,,,,,,,,,6539428fe0265e4af914c100,2023-11-11T15:39:46.526Z,0
654fa05dcdada04a6176e89c,question100,what department bad,question2,question2,question3,,,,,,,,,,brief answer,multiple choice,short answer,brief answer,multiple choice,,,,,,,,,,op1,op2,op3,op4,,,,,op1,op2,op3,op4,op1,op2,op3,op4,,,,,,,,,,,,,,,,,,,,,,,654fa05dcdada04a6176e89d,654fa05dcdada04a6176e89e,654fa05dcdada04a6176e89f,654fa05dcdada04a6176e8a0,654fa05dcdada04a6176e8a1,,,,,,,,,,6539428fe0265e4af914c100,2023-11-11T15:40:13.925Z,0
654fa073cdada04a6176e8b2,question100,what department bad,question2,question2,question3,,,,,,,,,,brief answer,multiple choice,short answer,brief answer,multiple choice,,,,,,,,,,op1,op2,op3,op4,,,,,dep21,op2,dep32,op4,op1,op2,op3,op4,,,,,,,,,,,,,,,,,,,,,,,654fa073cdada04a6176e8b3,654fa073cdada04a6176e8b4,654fa073cdada04a6176e8b5,654fa073cdada04a6176e8b6,654fa073cdada04a6176e8b7,,,,,,,,,,6539428fe0265e4af914c100,2023-11-11T15:40:35.805Z,0
65618468b29b85897074fb88,question100,what department bad,question2,question2,question3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65618468b29b85897074fb89,65618468b29b85897074fb8a,65618468b29b85897074fb8b,65618468b29b85897074fb8c,65618468b29b85897074fb8d,,,,,,,,,,6539428fe0265e4af914c0f4,2023-11-25T05:21:44.641Z,0
656185dece58607d03afb6ee,question00,question01,,,,,,,,,,,,,,,,,,,,,,,,,,,option1,option2,option3,,,,,,option01,option02,option03,,,,,,,,,,,,,,,,,,,,,,,,,,,,656185dece58607d03afb6ef,656185dece58607d03afb6f0,,,,,,,,,,,,,6539428fe0265e4af914c0f4,2023-11-25T05:27:58.104Z,0
656187fc35f36be1588be41a,question11,,,,,,,,,,,,,,,,,,,,,,,,,,,,op1,op2,op3,op4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656187fc35f36be1588be41b,,,,,,,,,,,,,,6539428fe0265e4af914c0f4,2023-11-25T05:37:00.460Z,0
6561890e9bc4b71caf526164,question11,question11,,,,,,,,,,,,,,,,,,,,,,,,,,,op1,op2,op3,op4,,,,,op1,op2,op3,op4,,,,,,,,,,,,,,,,,,,,,,,,,,,6561890e9bc4b71caf526165,6561890e9bc4b71caf526166,,,,,,,,,,,,,6539428fe0265e4af914c0f4,2023-11-25T05:41:34.701Z,0
656189849bc4b71caf526174,question11,question11,question11,,,,,,,,,,,,,,,,,,,,,,,,,,op1,op2,op3,op4,op1,op2,op3,op4,op1,op2,op3,op4,,,,,,,,,,,,,,,,,,,,,,,,,,,656189849bc4b71caf526175,656189849bc4b71caf526176,656189849bc4b71caf526177,,,,,,,,,,,,6539428fe0265e4af914c0f4,2023-11-25T05:43:32.903Z,0
